timestamp,cmdb_id,span_id,trace_id,duration,type,status_code,operation_name,parent_span
1647747340693,frontend-2,d1b3f238e544e3f0,ae265c5b07acfe6cb3548eb855aa1357,13385835,http,0,hipstershop.Frontend/Recv.,
1647747354043,frontend-2,ed794292138f3a8d,ae265c5b07acfe6cb3548eb855aa1357,6733,rpc,0,hipstershop.ProductCatalogService/GetProduct,d1b3f238e544e3f0
1647747354044,productcatalogservice-0,b6d0fc6a971dfa53,ae265c5b07acfe6cb3548eb855aa1357,4785,rpc,0,hipstershop.ProductCatalogService/GetProduct,ed794292138f3a8d
1647747354055,frontend-2,0537acbf70acd7ab,ae265c5b07acfe6cb3548eb855aa1357,5677,rpc,0,hipstershop.ProductCatalogService/GetProduct,d1b3f238e544e3f0
1647747354056,productcatalogservice-2,b3d0378ddd58685c,ae265c5b07acfe6cb3548eb855aa1357,4245,rpc,0,hipstershop.ProductCatalogService/GetProduct,0537acbf70acd7ab
1647747354067,frontend-2,fd645f9fb5de1c44,ae265c5b07acfe6cb3548eb855aa1357,5987,rpc,0,hipstershop.ProductCatalogService/GetProduct,d1b3f238e544e3f0
1647747354068,productcatalogservice-1,bcec3e5ea32cf6f8,ae265c5b07acfe6cb3548eb855aa1357,3482,rpc,0,hipstershop.ProductCatalogService/GetProduct,fd645f9fb5de1c44
1647747340708,frontend-2,a21065d052ec52ab,ae265c5b07acfe6cb3548eb855aa1357,13334400,rpc,0,hipstershop.RecommendationService/ListRecommendations,d1b3f238e544e3f0
1647747340710,recommendationservice-1,af4c664b25ed29e3,ae265c5b07acfe6cb3548eb855aa1357,13331066,,0,/hipstershop.RecommendationService/ListRecommendations,a21065d052ec52ab
1647747340710,recommendationservice-1,125b4bbe94d27a47,ae265c5b07acfe6cb3548eb855aa1357,13330351,,0,/hipstershop.ProductCatalogService/ListProducts,af4c664b25ed29e3
1647747354038,productcatalogservice-1,025a8665c0c59c04,ae265c5b07acfe6cb3548eb855aa1357,30,rpc,0,hipstershop.ProductCatalogService/ListProducts,125b4bbe94d27a47
1647747354049,frontend-2,18877eb55ba2cbdf,ae265c5b07acfe6cb3548eb855aa1357,5977,rpc,0,hipstershop.ProductCatalogService/GetProduct,d1b3f238e544e3f0
1647747354050,productcatalogservice-1,86f3461fe42f3484,ae265c5b07acfe6cb3548eb855aa1357,4383,rpc,0,hipstershop.ProductCatalogService/GetProduct,18877eb55ba2cbdf
1647747354061,frontend-2,dd7d6f6c29b23fe3,ae265c5b07acfe6cb3548eb855aa1357,5950,rpc,0,hipstershop.ProductCatalogService/GetProduct,d1b3f238e544e3f0
1647747354062,productcatalogservice-0,12f5f05dab2ca50e,ae265c5b07acfe6cb3548eb855aa1357,4235,rpc,0,hipstershop.ProductCatalogService/GetProduct,dd7d6f6c29b23fe3
1647747340693,frontend-2,ae2ac27c7185de23,ae265c5b07acfe6cb3548eb855aa1357,7473,rpc,0,hipstershop.ProductCatalogService/GetProduct,d1b3f238e544e3f0
1647747340694,productcatalogservice-1,4f757b5cc5f07a7b,ae265c5b07acfe6cb3548eb855aa1357,5359,rpc,0,hipstershop.ProductCatalogService/GetProduct,ae2ac27c7185de23
1647747340700,frontend-2,fd7f6654ac6ca182,ae265c5b07acfe6cb3548eb855aa1357,2831,rpc,0,hipstershop.CurrencyService/GetSupportedCurrencies,d1b3f238e544e3f0
1647747340702,currencyservice-0,3f2914f8d18b2430,ae265c5b07acfe6cb3548eb855aa1357,132,telemetry,0,grpc.hipstershop.CurrencyService/GetSupportedCurrencies,fd7f6654ac6ca182
1647747340706,frontend-2,da83491508dcba04,ae265c5b07acfe6cb3548eb855aa1357,2628,rpc,0,hipstershop.CurrencyService/Convert,d1b3f238e544e3f0
1647747340707,currencyservice-1,339cc51fb9a3c48b,ae265c5b07acfe6cb3548eb855aa1357,124,telemetry,0,grpc.hipstershop.CurrencyService/Convert,da83491508dcba04
1647747354073,frontend-2,7509c7a7927d3df9,ae265c5b07acfe6cb3548eb855aa1357,4696,rpc,0,hipstershop.AdService/GetAds,d1b3f238e544e3f0
1647747354075,adservice-0,6bd44260603f2742,ae265c5b07acfe6cb3548eb855aa1357,23,rpc,OK,hipstershop.adservice/getads,7509c7a7927d3df9
1647747340703,frontend-2,e733a8eadacc8f83,ae265c5b07acfe6cb3548eb855aa1357,2532,rpc,0,hipstershop.CartService/GetCart,d1b3f238e544e3f0
1647747340704,cartservice-2,f11f9febb3737f4e,ae265c5b07acfe6cb3548eb855aa1357,0,http,200,/hipstershop.CartService/GetCart,e733a8eadacc8f83
1647747340704,cartservice-2,687bd3fd6f9ba94b,ae265c5b07acfe6cb3548eb855aa1357,0,db,Ok,HGET,f11f9febb3737f4e
